run_key,run_label,harness,mode,audit_id,total_calls,blockchain_rpc_probe,build_or_test,code_or_file_inspection,code_search,file_or_repo_mutation,other,run_orchestration,script_or_runtime,submission_output,text_processing,version_control
runs/openrouter-v1/openai-gpt-5.4-sample-detect-only-small/evmbench_runs/codex--gpt-5.4-6641e7fa--detect--2024-05-loop/2026-05-13T16-45-50-GMT_run-group_codex-openrouter-v1_detect,codex--gpt-5.4-6641e7fa--detect--2024-05-loop,codex,detect,2024-05-loop,9,0,1,3,0,0,3,0,0,2,0,0
runs/openrouter-v1/openai-gpt-5.4-sample-detect-only-small/evmbench_runs/opencode--gpt-5.4-6641e7fa--detect--2024-05-loop/2026-05-13T17-26-53-GMT_run-group_opencode-openrouter-v1_detect,opencode--gpt-5.4-6641e7fa--detect--2024-05-loop,opencode,detect,2024-05-loop,7,1,1,1,0,0,0,0,0,0,0,4
runs/openrouter-v1/openai-gpt-5.4-opencode-panoptic-rerun-20260513T122729Z/evmbench_runs/opencode--gpt-5.4-6641e7fa--patch--2025-06-panoptic/2026-05-13T12-58-20-GMT_run-group_opencode-openrouter-v1_patch,opencode--gpt-5.4-6641e7fa--patch--2025-06-panoptic,opencode,patch,2025-06-panoptic,6,0,2,0,0,0,0,0,4,0,0,0
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/opencode--gpt-5.4-6641e7fa--detect--2025-05-blackhole/2026-05-15T14-09-18-GMT_run-group_opencode-openrouter-v1_detect,opencode--gpt-5.4-6641e7fa--detect--2025-05-blackhole,opencode,detect,2025-05-blackhole,5,0,0,3,0,0,0,0,0,0,0,2
runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen/2026-05-15T15-58-29-GMT_run-group_codex-openrouter-v1_patch,codex--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen,codex,patch,2023-10-nextgen,3,0,0,3,0,0,0,0,0,0,0,0
runs/openrouter-v1/openai-gpt-5.4-sample-detect-only-small/evmbench_runs/opencode--gpt-5.4-6641e7fa--detect--2024-03-gitcoin/2026-05-13T16-56-31-GMT_run-group_opencode-openrouter-v1_detect,opencode--gpt-5.4-6641e7fa--detect--2024-03-gitcoin,opencode,detect,2024-03-gitcoin,3,0,0,2,0,0,0,0,1,0,0,0
runs/openrouter-v1/openai-gpt-5.4-sample-detect-only-small/evmbench_runs/opencode--gpt-5.4-6641e7fa--detect--2025-02-thorwallet/2026-05-13T17-55-36-GMT_run-group_opencode-openrouter-v1_detect,opencode--gpt-5.4-6641e7fa--detect--2025-02-thorwallet,opencode,detect,2025-02-thorwallet,3,0,1,0,0,1,0,0,1,0,0,0
codex--gpt-5.4-6641e7fa--detect--2024-03-gitcoin,codex--gpt-5.4-6641e7fa--detect--2024-03-gitcoin,codex,detect,2024-03-gitcoin,2,0,0,0,0,0,0,2,0,0,0,0
codex--gpt-5.4-6641e7fa--detect--2024-05-loop,codex--gpt-5.4-6641e7fa--detect--2024-05-loop,codex,detect,2024-05-loop,2,0,0,0,0,0,0,2,0,0,0,0
codex--gpt-5.4-6641e7fa--detect--2025-02-thorwallet,codex--gpt-5.4-6641e7fa--detect--2025-02-thorwallet,codex,detect,2025-02-thorwallet,2,0,0,0,0,0,0,2,0,0,0,0
codex--gpt-5.4-6641e7fa--detect--2025-05-blackhole,codex--gpt-5.4-6641e7fa--detect--2025-05-blackhole,codex,detect,2025-05-blackhole,2,0,0,0,0,0,0,2,0,0,0,0
codex--gpt-5.4-6641e7fa--exploit--2025-05-blackhole,codex--gpt-5.4-6641e7fa--exploit--2025-05-blackhole,codex,exploit,2025-05-blackhole,2,0,0,0,0,0,0,2,0,0,0,0
codex--gpt-5.4-6641e7fa--patch--2025-05-blackhole,codex--gpt-5.4-6641e7fa--patch--2025-05-blackhole,codex,patch,2025-05-blackhole,2,0,0,0,0,0,0,2,0,0,0,0
codex--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen,codex--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen,codex,patch,2023-10-nextgen,2,0,0,0,0,0,0,2,0,0,0,0
codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild,codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild,codex,patch,2023-12-ethereumcreditguild,2,0,0,0,0,0,0,2,0,0,0,0
codex--openrouter__owl-alpha-377195ae--patch--2024-05-olas,codex--openrouter__owl-alpha-377195ae--patch--2024-05-olas,codex,patch,2024-05-olas,2,0,0,0,0,0,0,2,0,0,0,0
codex--openrouter__owl-alpha-377195ae--patch--2024-07-basin,codex--openrouter__owl-alpha-377195ae--patch--2024-07-basin,codex,patch,2024-07-basin,2,0,0,0,0,0,0,2,0,0,0,0
opencode--gpt-5.4-6641e7fa--detect--2024-03-gitcoin,opencode--gpt-5.4-6641e7fa--detect--2024-03-gitcoin,opencode,detect,2024-03-gitcoin,2,0,0,0,0,0,0,2,0,0,0,0
opencode--gpt-5.4-6641e7fa--detect--2024-05-loop,opencode--gpt-5.4-6641e7fa--detect--2024-05-loop,opencode,detect,2024-05-loop,2,0,0,0,0,0,0,2,0,0,0,0
opencode--gpt-5.4-6641e7fa--detect--2025-02-thorwallet,opencode--gpt-5.4-6641e7fa--detect--2025-02-thorwallet,opencode,detect,2025-02-thorwallet,2,0,0,0,0,0,0,2,0,0,0,0
opencode--gpt-5.4-6641e7fa--detect--2025-05-blackhole,opencode--gpt-5.4-6641e7fa--detect--2025-05-blackhole,opencode,detect,2025-05-blackhole,2,0,0,0,0,0,0,2,0,0,0,0
opencode--gpt-5.4-6641e7fa--detect--2025-06-panoptic,opencode--gpt-5.4-6641e7fa--detect--2025-06-panoptic,opencode,detect,2025-06-panoptic,2,0,0,0,0,0,0,2,0,0,0,0
opencode--gpt-5.4-6641e7fa--exploit--2025-05-blackhole,opencode--gpt-5.4-6641e7fa--exploit--2025-05-blackhole,opencode,exploit,2025-05-blackhole,2,0,0,0,0,0,0,2,0,0,0,0
opencode--gpt-5.4-6641e7fa--exploit--2025-06-panoptic,opencode--gpt-5.4-6641e7fa--exploit--2025-06-panoptic,opencode,exploit,2025-06-panoptic,2,0,0,0,0,0,0,2,0,0,0,0
opencode--gpt-5.4-6641e7fa--patch--2025-05-blackhole,opencode--gpt-5.4-6641e7fa--patch--2025-05-blackhole,opencode,patch,2025-05-blackhole,2,0,0,0,0,0,0,2,0,0,0,0
opencode--gpt-5.4-6641e7fa--patch--2025-06-panoptic,opencode--gpt-5.4-6641e7fa--patch--2025-06-panoptic,opencode,patch,2025-06-panoptic,2,0,0,0,0,0,0,2,0,0,0,0
opencode--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen,opencode--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen,opencode,patch,2023-10-nextgen,2,0,0,0,0,0,0,2,0,0,0,0
opencode--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild,opencode--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild,opencode,patch,2023-12-ethereumcreditguild,2,0,0,0,0,0,0,2,0,0,0,0
opencode--openrouter__owl-alpha-377195ae--patch--2024-05-olas,opencode--openrouter__owl-alpha-377195ae--patch--2024-05-olas,opencode,patch,2024-05-olas,2,0,0,0,0,0,0,2,0,0,0,0
opencode--openrouter__owl-alpha-377195ae--patch--2024-07-basin,opencode--openrouter__owl-alpha-377195ae--patch--2024-07-basin,opencode,patch,2024-07-basin,2,0,0,0,0,0,0,2,0,0,0,0
chatcmpl-tool-805b45012d128e09,chatcmpl-tool-805b45012d128e09,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-805ecd6d6f8fee58,chatcmpl-tool-805ecd6d6f8fee58,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-806850d414514109,chatcmpl-tool-806850d414514109,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-807051aec09922b0,chatcmpl-tool-807051aec09922b0,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-80c67b1090d30525,chatcmpl-tool-80c67b1090d30525,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-80fd896a368f0e74,chatcmpl-tool-80fd896a368f0e74,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-816315cd232d0444,chatcmpl-tool-816315cd232d0444,mini-swe-agent-forest,unknown,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-819a9a76c0b7e336,chatcmpl-tool-819a9a76c0b7e336,mini-swe-agent-forest,detect,2024-01-canto,1,0,1,0,0,0,0,0,0,0,0,0
chatcmpl-tool-81aa8f83f1ab4fe9,chatcmpl-tool-81aa8f83f1ab4fe9,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-81af1463aca0f996,chatcmpl-tool-81af1463aca0f996,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-81b04199344489cf,chatcmpl-tool-81b04199344489cf,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,0,0,1,0,0,0,0,0,0
chatcmpl-tool-821307a54d697680,chatcmpl-tool-821307a54d697680,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-823ac42a866685ba,chatcmpl-tool-823ac42a866685ba,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-823d7bef001aa13e,chatcmpl-tool-823d7bef001aa13e,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8248c9d15c6c5a29,chatcmpl-tool-8248c9d15c6c5a29,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-825d18744ab6571c,chatcmpl-tool-825d18744ab6571c,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,0,0,1,0,0,0,0,0,0
chatcmpl-tool-829feccc484fb45d,chatcmpl-tool-829feccc484fb45d,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-82a1f36da917fddc,chatcmpl-tool-82a1f36da917fddc,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-832468404293f4be,chatcmpl-tool-832468404293f4be,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-83268a06a21b59d7,chatcmpl-tool-83268a06a21b59d7,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-833835d19d2ce513,chatcmpl-tool-833835d19d2ce513,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-834b2b34a75df826,chatcmpl-tool-834b2b34a75df826,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,0,1,0,0,0,0,0,0,0
chatcmpl-tool-8367dd4a73bd1427,chatcmpl-tool-8367dd4a73bd1427,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-844eb462904b11c2,chatcmpl-tool-844eb462904b11c2,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-84b354bfc77ebb1c,chatcmpl-tool-84b354bfc77ebb1c,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-84f7fffad74c0bad,chatcmpl-tool-84f7fffad74c0bad,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8534a3557361b1b1,chatcmpl-tool-8534a3557361b1b1,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-853b2ad15875f4f4,chatcmpl-tool-853b2ad15875f4f4,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8554edbeefddf4d8,chatcmpl-tool-8554edbeefddf4d8,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-856ed1ef108fda78,chatcmpl-tool-856ed1ef108fda78,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-858468ed1bbd6db5,chatcmpl-tool-858468ed1bbd6db5,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-85ea840e78ffea17,chatcmpl-tool-85ea840e78ffea17,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-85f2b37ba58c6648,chatcmpl-tool-85f2b37ba58c6648,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-86074124f6a710f6,chatcmpl-tool-86074124f6a710f6,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-86193e1035ff7f6d,chatcmpl-tool-86193e1035ff7f6d,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-867c4a21b04e3107,chatcmpl-tool-867c4a21b04e3107,mini-swe-agent-forest,detect,2026-05-04-ghcr,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-86a1c057819e6e53,chatcmpl-tool-86a1c057819e6e53,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-877e37b96f40ec10,chatcmpl-tool-877e37b96f40ec10,mini-swe-agent-forest,detect,2026-05-04-ghcr,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-87d4a2d5f0e9be95,chatcmpl-tool-87d4a2d5f0e9be95,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-87e99018d1d30826,chatcmpl-tool-87e99018d1d30826,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-880b5e13b711311e,chatcmpl-tool-880b5e13b711311e,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,0,1,0,0,0,0,0,0,0
chatcmpl-tool-883fbe1dfcf5c4d1,chatcmpl-tool-883fbe1dfcf5c4d1,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-88dfa0eb12174c09,chatcmpl-tool-88dfa0eb12174c09,mini-swe-agent-forest,detect,2026-05-04-ghcr,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-89386956b8c7d55d,chatcmpl-tool-89386956b8c7d55d,mini-swe-agent-forest,detect,2026-05-04-ghcr,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-89601e7883f6fa10,chatcmpl-tool-89601e7883f6fa10,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8a13caac0d713091,chatcmpl-tool-8a13caac0d713091,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8a4b82e913cb430a,chatcmpl-tool-8a4b82e913cb430a,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8a50b74fa90016d9,chatcmpl-tool-8a50b74fa90016d9,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8a971c2994b4e75c,chatcmpl-tool-8a971c2994b4e75c,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8b2ea3a1785c8b12,chatcmpl-tool-8b2ea3a1785c8b12,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8b80a0b5c56658d3,chatcmpl-tool-8b80a0b5c56658d3,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,0,0,1,0,0,0,0,0,0
chatcmpl-tool-8b987b4297b336db,chatcmpl-tool-8b987b4297b336db,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8bb0a5ebd992d7f0,chatcmpl-tool-8bb0a5ebd992d7f0,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8bb791750202184f,chatcmpl-tool-8bb791750202184f,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8bbdf0107ad47f9a,chatcmpl-tool-8bbdf0107ad47f9a,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8bf3680ec8f5e2a7,chatcmpl-tool-8bf3680ec8f5e2a7,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8c2f0dac3c9a4b4c,chatcmpl-tool-8c2f0dac3c9a4b4c,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8c3678710d3bdf6a,chatcmpl-tool-8c3678710d3bdf6a,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8cacd124bad41d5b,chatcmpl-tool-8cacd124bad41d5b,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,0,0,1,0,0,0,0,0,0
chatcmpl-tool-8d1dda262c2a4e04,chatcmpl-tool-8d1dda262c2a4e04,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8d95dd8f1cf3138a,chatcmpl-tool-8d95dd8f1cf3138a,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8dbb7303195d8314,chatcmpl-tool-8dbb7303195d8314,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8e36f2c4266a53b6,chatcmpl-tool-8e36f2c4266a53b6,mini-swe-agent-forest,unknown,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8f082feaff9ca2ab,chatcmpl-tool-8f082feaff9ca2ab,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8f64db3bf537540c,chatcmpl-tool-8f64db3bf537540c,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,0,0,1,0,0,0,0,0,0
chatcmpl-tool-8f6c0ad893092dcd,chatcmpl-tool-8f6c0ad893092dcd,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-8f80d0d183bb6b1c,chatcmpl-tool-8f80d0d183bb6b1c,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-90b1260a1dfc54ab,chatcmpl-tool-90b1260a1dfc54ab,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,0,1,0,0,0,0,0,0,0
chatcmpl-tool-90c5e34472a6af43,chatcmpl-tool-90c5e34472a6af43,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-90dbd79e3ca85216,chatcmpl-tool-90dbd79e3ca85216,mini-swe-agent-forest,unknown,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-9122aaa79e0ced10,chatcmpl-tool-9122aaa79e0ced10,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,0,1,0,0,0,0,0,0,0
chatcmpl-tool-913d54f1c2b3a1e8,chatcmpl-tool-913d54f1c2b3a1e8,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-9144ca126174ea6d,chatcmpl-tool-9144ca126174ea6d,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-915d97afd27112f8,chatcmpl-tool-915d97afd27112f8,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-917e97be3440c95b,chatcmpl-tool-917e97be3440c95b,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-91a9345ce4ce4124,chatcmpl-tool-91a9345ce4ce4124,mini-swe-agent-forest,detect,2026-05-04-ghcr,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-91c5812ccf9e5aae,chatcmpl-tool-91c5812ccf9e5aae,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
chatcmpl-tool-921b910d8ff42a0f,chatcmpl-tool-921b910d8ff42a0f,mini-swe-agent-forest,detect,2024-01-canto,1,0,0,1,0,0,0,0,0,0,0,0
