run_key,run_label,experiment,harness,agent,model,mode,audit_id,roles,source_types,total_calls,agent_calls,runner_calls,unique_commands,top_intent,top_intent_calls,top_primary_command,top_primary_command_calls,top_tool_family,top_tool_family_calls,inspection_calls,blockchain_rpc_calls,mutation_calls,compound_calls,mutating_flag_calls,nonzero_exit_calls,unknown_exit_calls
runs/openrouter-v1/openai-gpt-5.4-sample-panoptic-all-modes/evmbench_runs/codex--gpt-5.4-6641e7fa--patch--2025-06-panoptic/2026-05-12T15-40-47-GMT_run-group_codex-openrouter-v1_patch,codex--gpt-5.4-6641e7fa--patch--2025-06-panoptic,runs/openrouter-v1,codex,codex,gpt-5.4-6641e7fa,patch,2025-06-panoptic,,agent_command_execution,24,24,0,24,script_or_runtime,13,bash,14,language_runtime,14,0,0,11,22,11,9,0
runs/openrouter-v1/openai-gpt-5.4-sample-panoptic-all-modes/evmbench_runs/codex--gpt-5.4-6641e7fa--detect--2025-06-panoptic/2026-05-12T15-38-02-GMT_run-group_codex-openrouter-v1_detect,codex--gpt-5.4-6641e7fa--detect--2025-06-panoptic,runs/openrouter-v1,codex,codex,gpt-5.4-6641e7fa,detect,2025-06-panoptic,,agent_command_execution,22,22,0,22,code_or_file_inspection,12,sed,12,file_reader,15,15,0,6,22,6,0,0
runs/openrouter-v1/openai-gpt-5.4-sample-detect-only-small/evmbench_runs/codex--gpt-5.4-6641e7fa--detect--2024-03-gitcoin/2026-05-13T16-26-31-GMT_run-group_codex-openrouter-v1_detect,codex--gpt-5.4-6641e7fa--detect--2024-03-gitcoin,runs/openrouter-v1,codex,codex,gpt-5.4-6641e7fa,detect,2024-03-gitcoin,,agent_command_execution,20,20,0,20,other,8,set,16,other_cli,11,5,0,7,20,6,3,4
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/codex--gpt-5.4-6641e7fa--patch--2025-05-blackhole/2026-05-15T13-35-46-GMT_run-group_codex-openrouter-v1_patch,codex--gpt-5.4-6641e7fa--patch--2025-05-blackhole,runs/openrouter-v1,codex,codex,gpt-5.4-6641e7fa,patch,2025-05-blackhole,,agent_command_execution,16,16,0,16,code_or_file_inspection,7,sed,6,file_reader,7,9,0,6,16,6,6,0
runs/openrouter-v1/openai-gpt-5.4-sample-detect-only-small/evmbench_runs/codex--gpt-5.4-6641e7fa--detect--2025-02-thorwallet/2026-05-13T16-48-34-GMT_run-group_codex-openrouter-v1_detect,codex--gpt-5.4-6641e7fa--detect--2025-02-thorwallet,runs/openrouter-v1,codex,codex,gpt-5.4-6641e7fa,detect,2025-02-thorwallet,,agent_command_execution,14,14,0,14,other,5,set,13,other_cli,9,3,0,5,14,5,3,0
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/opencode--gpt-5.4-6641e7fa--patch--2025-05-blackhole/2026-05-15T14-39-40-GMT_run-group_opencode-openrouter-v1_patch,opencode--gpt-5.4-6641e7fa--patch--2025-05-blackhole,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,patch,2025-05-blackhole,,agent_bash_tool,12,12,0,9,version_control,8,git,8,version_control,8,0,0,4,1,4,1,0
runs/openrouter-v1/openai-gpt-5.4-sample-detect-only-small/evmbench_runs/codex--gpt-5.4-6641e7fa--detect--2024-05-loop/2026-05-13T16-45-50-GMT_run-group_codex-openrouter-v1_detect,codex--gpt-5.4-6641e7fa--detect--2024-05-loop,runs/openrouter-v1,codex,codex,gpt-5.4-6641e7fa,detect,2024-05-loop,,agent_command_execution,9,9,0,9,other,3,set,9,file_reader,5,3,0,3,9,2,2,0
runs/openrouter-v1/openai-gpt-5.4-sample-detect-only-small/evmbench_runs/opencode--gpt-5.4-6641e7fa--detect--2024-05-loop/2026-05-13T17-26-53-GMT_run-group_opencode-openrouter-v1_detect,opencode--gpt-5.4-6641e7fa--detect--2024-05-loop,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,detect,2024-05-loop,,agent_bash_tool,7,7,0,7,version_control,4,gh,3,version_control,4,1,1,1,1,1,4,0
runs/openrouter-v1/openai-gpt-5.4-opencode-panoptic-rerun-20260513T122729Z/evmbench_runs/opencode--gpt-5.4-6641e7fa--patch--2025-06-panoptic/2026-05-13T12-58-20-GMT_run-group_opencode-openrouter-v1_patch,opencode--gpt-5.4-6641e7fa--patch--2025-06-panoptic,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,patch,2025-06-panoptic,,agent_bash_tool,6,6,0,6,script_or_runtime,4,python3,4,language_runtime,4,0,0,2,4,2,0,0
runs/openrouter-v1/openai-gpt-5.4-both-blackhole-allmodes-20260515T132540Z/evmbench_runs/opencode--gpt-5.4-6641e7fa--detect--2025-05-blackhole/2026-05-15T14-09-18-GMT_run-group_opencode-openrouter-v1_detect,opencode--gpt-5.4-6641e7fa--detect--2025-05-blackhole,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,detect,2025-05-blackhole,,agent_bash_tool,5,5,0,4,code_or_file_inspection,3,ls,3,filesystem_inventory,3,3,0,0,0,0,0,0
runs/openrouter-v1/openrouter-owl-alpha-rich4-patch-20260515T155754Z/evmbench_runs/codex--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen/2026-05-15T15-58-29-GMT_run-group_codex-openrouter-v1_patch,codex--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen,runs/openrouter-v1,codex,codex,openrouter__owl-alpha-377195ae,patch,2023-10-nextgen,,agent_command_execution,3,3,0,3,code_or_file_inspection,3,ls,2,filesystem_inventory,2,3,0,0,0,0,0,0
runs/openrouter-v1/openai-gpt-5.4-sample-detect-only-small/evmbench_runs/opencode--gpt-5.4-6641e7fa--detect--2024-03-gitcoin/2026-05-13T16-56-31-GMT_run-group_opencode-openrouter-v1_detect,opencode--gpt-5.4-6641e7fa--detect--2024-03-gitcoin,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,detect,2024-03-gitcoin,,agent_bash_tool,3,3,0,3,code_or_file_inspection,2,ls,2,filesystem_inventory,2,2,0,0,1,0,0,0
runs/openrouter-v1/openai-gpt-5.4-sample-detect-only-small/evmbench_runs/opencode--gpt-5.4-6641e7fa--detect--2025-02-thorwallet/2026-05-13T17-55-36-GMT_run-group_opencode-openrouter-v1_detect,opencode--gpt-5.4-6641e7fa--detect--2025-02-thorwallet,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,detect,2025-02-thorwallet,,agent_bash_tool,3,3,0,3,build_or_test,1,npx,1,package_manager,1,0,0,2,2,2,1,0
codex--gpt-5.4-6641e7fa--detect--2024-03-gitcoin,codex--gpt-5.4-6641e7fa--detect--2024-03-gitcoin,runs/openrouter-v1,codex,codex,gpt-5.4-6641e7fa,detect,2024-03-gitcoin,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
codex--gpt-5.4-6641e7fa--detect--2024-05-loop,codex--gpt-5.4-6641e7fa--detect--2024-05-loop,runs/openrouter-v1,codex,codex,gpt-5.4-6641e7fa,detect,2024-05-loop,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
codex--gpt-5.4-6641e7fa--detect--2025-02-thorwallet,codex--gpt-5.4-6641e7fa--detect--2025-02-thorwallet,runs/openrouter-v1,codex,codex,gpt-5.4-6641e7fa,detect,2025-02-thorwallet,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
codex--gpt-5.4-6641e7fa--detect--2025-05-blackhole,codex--gpt-5.4-6641e7fa--detect--2025-05-blackhole,runs/openrouter-v1,codex,codex,gpt-5.4-6641e7fa,detect,2025-05-blackhole,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
codex--gpt-5.4-6641e7fa--exploit--2025-05-blackhole,codex--gpt-5.4-6641e7fa--exploit--2025-05-blackhole,runs/openrouter-v1,codex,codex,gpt-5.4-6641e7fa,exploit,2025-05-blackhole,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
codex--gpt-5.4-6641e7fa--patch--2025-05-blackhole,codex--gpt-5.4-6641e7fa--patch--2025-05-blackhole,runs/openrouter-v1,codex,codex,gpt-5.4-6641e7fa,patch,2025-05-blackhole,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
codex--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen,codex--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen,runs/openrouter-v1,codex,codex,openrouter__owl-alpha-377195ae,patch,2023-10-nextgen,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild,codex--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild,runs/openrouter-v1,codex,codex,openrouter__owl-alpha-377195ae,patch,2023-12-ethereumcreditguild,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
codex--openrouter__owl-alpha-377195ae--patch--2024-05-olas,codex--openrouter__owl-alpha-377195ae--patch--2024-05-olas,runs/openrouter-v1,codex,codex,openrouter__owl-alpha-377195ae,patch,2024-05-olas,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
codex--openrouter__owl-alpha-377195ae--patch--2024-07-basin,codex--openrouter__owl-alpha-377195ae--patch--2024-07-basin,runs/openrouter-v1,codex,codex,openrouter__owl-alpha-377195ae,patch,2024-07-basin,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
opencode--gpt-5.4-6641e7fa--detect--2024-03-gitcoin,opencode--gpt-5.4-6641e7fa--detect--2024-03-gitcoin,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,detect,2024-03-gitcoin,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
opencode--gpt-5.4-6641e7fa--detect--2024-05-loop,opencode--gpt-5.4-6641e7fa--detect--2024-05-loop,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,detect,2024-05-loop,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
opencode--gpt-5.4-6641e7fa--detect--2025-02-thorwallet,opencode--gpt-5.4-6641e7fa--detect--2025-02-thorwallet,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,detect,2025-02-thorwallet,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
opencode--gpt-5.4-6641e7fa--detect--2025-05-blackhole,opencode--gpt-5.4-6641e7fa--detect--2025-05-blackhole,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,detect,2025-05-blackhole,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
opencode--gpt-5.4-6641e7fa--detect--2025-06-panoptic,opencode--gpt-5.4-6641e7fa--detect--2025-06-panoptic,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,detect,2025-06-panoptic,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
opencode--gpt-5.4-6641e7fa--exploit--2025-05-blackhole,opencode--gpt-5.4-6641e7fa--exploit--2025-05-blackhole,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,exploit,2025-05-blackhole,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
opencode--gpt-5.4-6641e7fa--exploit--2025-06-panoptic,opencode--gpt-5.4-6641e7fa--exploit--2025-06-panoptic,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,exploit,2025-06-panoptic,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
opencode--gpt-5.4-6641e7fa--patch--2025-05-blackhole,opencode--gpt-5.4-6641e7fa--patch--2025-05-blackhole,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,patch,2025-05-blackhole,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
opencode--gpt-5.4-6641e7fa--patch--2025-06-panoptic,opencode--gpt-5.4-6641e7fa--patch--2025-06-panoptic,runs/openrouter-v1,opencode,opencode,gpt-5.4-6641e7fa,patch,2025-06-panoptic,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
opencode--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen,opencode--openrouter__owl-alpha-377195ae--patch--2023-10-nextgen,runs/openrouter-v1,opencode,opencode,openrouter__owl-alpha-377195ae,patch,2023-10-nextgen,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
opencode--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild,opencode--openrouter__owl-alpha-377195ae--patch--2023-12-ethereumcreditguild,runs/openrouter-v1,opencode,opencode,openrouter__owl-alpha-377195ae,patch,2023-12-ethereumcreditguild,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
opencode--openrouter__owl-alpha-377195ae--patch--2024-05-olas,opencode--openrouter__owl-alpha-377195ae--patch--2024-05-olas,runs/openrouter-v1,opencode,opencode,openrouter__owl-alpha-377195ae,patch,2024-05-olas,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
opencode--openrouter__owl-alpha-377195ae--patch--2024-07-basin,opencode--openrouter__owl-alpha-377195ae--patch--2024-07-basin,runs/openrouter-v1,opencode,opencode,openrouter__owl-alpha-377195ae,patch,2024-07-basin,,runner_command,2,0,2,1,run_orchestration,2,uv,2,package_manager,2,0,0,0,0,0,0,0
chatcmpl-tool-805b45012d128e09,chatcmpl-tool-805b45012d128e09,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,accounting/judge,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-805ecd6d6f8fee58,chatcmpl-tool-805ecd6d6f8fee58,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,token-flow/judge,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-806850d414514109,chatcmpl-tool-806850d414514109,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,global-judge,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-807051aec09922b0,chatcmpl-tool-807051aec09922b0,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,access-control/branch-01,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-80c67b1090d30525,chatcmpl-tool-80c67b1090d30525,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,token-flow/branch-01,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,1,0,0,0
chatcmpl-tool-80fd896a368f0e74,chatcmpl-tool-80fd896a368f0e74,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,accounting/judge,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-816315cd232d0444,chatcmpl-tool-816315cd232d0444,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,unknown,2024-01-canto,scout,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-819a9a76c0b7e336,chatcmpl-tool-819a9a76c0b7e336,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,accounting/branch-01,agent_bash_tool,1,1,0,1,build_or_test,1,forge,1,build_test,1,0,0,1,1,1,0,0
chatcmpl-tool-81aa8f83f1ab4fe9,chatcmpl-tool-81aa8f83f1ab4fe9,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,token-flow/branch-01,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-81af1463aca0f996,chatcmpl-tool-81af1463aca0f996,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,token-flow/judge,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-81b04199344489cf,chatcmpl-tool-81b04199344489cf,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,global-judge,agent_bash_tool,1,1,0,1,file_or_repo_mutation,1,mkdir,1,other_cli,1,0,0,1,0,1,0,0
chatcmpl-tool-821307a54d697680,chatcmpl-tool-821307a54d697680,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,token-flow/judge,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-823ac42a866685ba,chatcmpl-tool-823ac42a866685ba,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,access-control/judge,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-823d7bef001aa13e,chatcmpl-tool-823d7bef001aa13e,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,cross-contract/branch-01,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,ls,1,filesystem_inventory,1,1,0,0,0,0,0,0
chatcmpl-tool-8248c9d15c6c5a29,chatcmpl-tool-8248c9d15c6c5a29,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,cross-contract/branch-01,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,1,0,0,0
chatcmpl-tool-825d18744ab6571c,chatcmpl-tool-825d18744ab6571c,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,token-flow/judge,agent_bash_tool,1,1,0,1,file_or_repo_mutation,1,cat,1,file_reader,1,0,0,1,1,1,0,0
chatcmpl-tool-829feccc484fb45d,chatcmpl-tool-829feccc484fb45d,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,token-flow/judge,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,find,1,file_reader,1,1,0,0,1,0,0,0
chatcmpl-tool-82a1f36da917fddc,chatcmpl-tool-82a1f36da917fddc,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,access-control/judge,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-832468404293f4be,chatcmpl-tool-832468404293f4be,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,token-flow/judge,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-83268a06a21b59d7,chatcmpl-tool-83268a06a21b59d7,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,cross-contract/branch-01,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-833835d19d2ce513,chatcmpl-tool-833835d19d2ce513,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,accounting/branch-01,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-834b2b34a75df826,chatcmpl-tool-834b2b34a75df826,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,token-flow/branch-01,agent_bash_tool,1,1,0,1,code_search,1,grep,1,search,1,1,0,0,0,0,0,0
chatcmpl-tool-8367dd4a73bd1427,chatcmpl-tool-8367dd4a73bd1427,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,global-judge,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-844eb462904b11c2,chatcmpl-tool-844eb462904b11c2,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,access-control/judge,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-84b354bfc77ebb1c,chatcmpl-tool-84b354bfc77ebb1c,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,access-control/judge,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
chatcmpl-tool-84f7fffad74c0bad,chatcmpl-tool-84f7fffad74c0bad,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,access-control/branch-01,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,ls,1,filesystem_inventory,1,1,0,0,0,0,0,0
chatcmpl-tool-8534a3557361b1b1,chatcmpl-tool-8534a3557361b1b1,runs/phase6,mini-swe-agent-forest,mini-swe-agent-forest,unknown,detect,2024-01-canto,cross-contract/branch-01,agent_bash_tool,1,1,0,1,code_or_file_inspection,1,cat,1,file_reader,1,1,0,0,0,0,0,0
